Judul,Link,judul_lower_case,remove_html,remove_special_characters,remove_escape_characters,cleaned_space,tokenisasi,remove_stopword_english,remove_stopword_indonesia,data_post_cleaned
Solusi Investasi Masalah Klasik Antara Beli atau Sewa Rumah,https://20.detik.com/detik-sore/20241023-241023126/solusi-investasi-masalah-klasik-antara-beli-atau-sewa-rumah,solusi investasi masalah klasik antara beli atau sewa rumah,solusi investasi masalah klasik antara beli atau sewa rumah,solusi investasi masalah klasik antara beli atau sewa rumah,solusi investasi masalah klasik antara beli atau sewa rumah,solusi investasi masalah klasik antara beli atau sewa rumah,"['solusi', 'investasi', 'masalah', 'klasik', 'antara', 'beli', 'atau', 'sewa', 'rumah']","['solusi', 'investasi', 'masalah', 'klasik', 'antara', 'beli', 'atau', 'sewa', 'rumah']","['solusi', 'investasi', 'klasik', 'beli', 'sewa', 'rumah']","['solusi', 'investasi', 'klasik', 'beli', 'sewa', 'rumah']"
Arti Bahasa Gaul Ege yang Viral dan Banyak Digunakan Gen Z,https://wolipop.detik.com/entertainment-news/d-7566142/arti-bahasa-gaul-ege-yang-viral-dan-banyak-digunakan-gen-z,arti bahasa gaul ege yang viral dan banyak digunakan gen z,arti bahasa gaul ege yang viral dan banyak digunakan gen z,arti bahasa gaul ege yang viral dan banyak digunakan gen z,arti bahasa gaul ege yang viral dan banyak digunakan gen z,arti bahasa gaul ege yang viral dan banyak digunakan gen z,"['arti', 'bahasa', 'gaul', 'ege', 'yang', 'viral', 'dan', 'banyak', 'digunakan', 'gen', 'z']","['arti', 'bahasa', 'gaul', 'ege', 'yang', 'viral', 'dan', 'banyak', 'digunakan', 'gen', 'z']","['arti', 'bahasa', 'gaul', 'ege', 'viral', 'gen', 'z']","['arti', 'bahasa', 'gaul', 'ege', 'viral', 'gen', 'z']"
"Rano Karno soal Live TikTok Raih Suara Gen Z: Kite Malu, Umur Udah Tua",https://news.detik.com/detiktv/d-7539453/rano-karno-soal-live-tiktok-raih-suara-gen-z-kite-malu-umur-udah-tua,"rano karno soal live tiktok raih suara gen z: kite malu, umur udah tua","rano karno soal live tiktok raih suara gen z: kite malu, umur udah tua",rano karno soal live tiktok raih suara gen z kite malu umur udah tua,rano karno soal live tiktok raih suara gen z kite malu umur udah tua,rano karno soal live tiktok raih suara gen z kite malu umur udah tua,"['rano', 'karno', 'soal', 'live', 'tiktok', 'raih', 'suara', 'gen', 'z', 'kite', 'malu', 'umur', 'udah', 'tua']","['rano', 'karno', 'soal', 'live', 'tiktok', 'raih', 'suara', 'gen', 'z', 'kite', 'malu', 'umur', 'udah', 'tua']","['rano', 'karno', 'live', 'tiktok', 'raih', 'suara', 'gen', 'z', 'kite', 'malu', 'umur', 'udah', 'tua']","['rano', 'karno', 'live', 'tiktok', 'raih', 'suara', 'gen', 'z', 'kite', 'malu', 'umur', 'udah', 'tua']"
Beberapa Alasan Kenapa Apartemen Cocok Buat Milenial-Gen Z,https://www.detik.com/properti/berita/d-7369717/beberapa-alasan-kenapa-apartemen-cocok-buat-milenial-gen-z,beberapa alasan kenapa apartemen cocok buat milenial-gen z,beberapa alasan kenapa apartemen cocok buat milenial-gen z,beberapa alasan kenapa apartemen cocok buat milenialgen z,beberapa alasan kenapa apartemen cocok buat milenialgen z,beberapa alasan kenapa apartemen cocok buat milenialgen z,"['beberapa', 'alasan', 'kenapa', 'apartemen', 'cocok', 'buat', 'milenialgen', 'z']","['beberapa', 'alasan', 'kenapa', 'apartemen', 'cocok', 'buat', 'milenialgen', 'z']","['alasan', 'apartemen', 'cocok', 'milenialgen', 'z']","['alasan', 'apartemen', 'cocok', 'milenialgen', 'z']"
"Adu Gaya WAGs Tenis di Wimbledon 2024, Didominasi Influencer Gen Z",https://wolipop.detik.com/celeb-style/d-7433704/adu-gaya-wags-tenis-di-wimbledon-2024-didominasi-influencer-gen-z,"adu gaya wags tenis di wimbledon 2024, didominasi influencer gen z","adu gaya wags tenis di wimbledon 2024, didominasi influencer gen z",adu gaya wags tenis di wimbledon  didominasi influencer gen z,adu gaya wags tenis di wimbledon  didominasi influencer gen z,adu gaya wags tenis di wimbledon  didominasi influencer gen z,"['adu', 'gaya', 'wags', 'tenis', 'di', 'wimbledon', 'didominasi', 'influencer', 'gen', 'z']","['adu', 'gaya', 'wags', 'tenis', 'di', 'wimbledon', 'didominasi', 'influencer', 'gen', 'z']","['adu', 'gaya', 'wags', 'tenis', 'wimbledon', 'didominasi', 'influencer', 'gen', 'z']","['adu', 'gaya', 'wags', 'tenis', 'wimbledon', 'didominasi', 'influencer', 'gen', 'z']"
Harga Diri Jadi Fokus Gen Z dalam Mencari Pekerjaan,https://www.detik.com/sumut/berita/d-7612957/harga-diri-jadi-fokus-gen-z-dalam-mencari-pekerjaan,harga diri jadi fokus gen z dalam mencari pekerjaan,harga diri jadi fokus gen z dalam mencari pekerjaan,harga diri jadi fokus gen z dalam mencari pekerjaan,harga diri jadi fokus gen z dalam mencari pekerjaan,harga diri jadi fokus gen z dalam mencari pekerjaan,"['harga', 'diri', 'jadi', 'fokus', 'gen', 'z', 'dalam', 'mencari', 'pekerjaan']","['harga', 'diri', 'jadi', 'fokus', 'gen', 'z', 'dalam', 'mencari', 'pekerjaan']","['harga', 'fokus', 'gen', 'z', 'mencari', 'pekerjaan']","['harga', 'fokus', 'gen', 'z', 'ncari', 'pekerjaan']"
Ternyata Bisa Yura! Gen Z UMR Bisa Beli Rumah Pakai Cara Ini,https://www.detik.com/properti/kepemilikan-rumah/d-7496080/ternyata-bisa-yura-gen-z-umr-bisa-beli-rumah-pakai-cara-ini,ternyata bisa yura! gen z umr bisa beli rumah pakai cara ini,ternyata bisa yura! gen z umr bisa beli rumah pakai cara ini,ternyata bisa yura gen z umr bisa beli rumah pakai cara ini,ternyata bisa yura gen z umr bisa beli rumah pakai cara ini,ternyata bisa yura gen z umr bisa beli rumah pakai cara ini,"['ternyata', 'bisa', 'yura', 'gen', 'z', 'umr', 'bisa', 'beli', 'rumah', 'pakai', 'cara', 'ini']","['ternyata', 'bisa', 'yura', 'gen', 'z', 'umr', 'bisa', 'beli', 'rumah', 'pakai', 'cara', 'ini']","['yura', 'gen', 'z', 'umr', 'beli', 'rumah', 'pakai']","['yura', 'gen', 'z', 'umr', 'beli', 'rumah', 'pakai']"
Gen Z Pelamar Kerja Ramai-ramai Pasang Tagar #DESPERATE di Profil LinkedIn,https://wolipop.detik.com/worklife/d-7568746/gen-z-pelamar-kerja-ramai-ramai-pasang-tagar-desperate-di-profil-linkedin,gen z pelamar kerja ramai-ramai pasang tagar #desperate di profil linkedin,gen z pelamar kerja ramai-ramai pasang tagar #desperate di profil linkedin,gen z pelamar kerja ramairamai pasang tagar desperate di profil linkedin,gen z pelamar kerja ramairamai pasang tagar desperate di profil linkedin,gen z pelamar kerja ramairamai pasang tagar desperate di profil linkedin,"['gen', 'z', 'pelamar', 'kerja', 'ramairamai', 'pasang', 'tagar', 'desperate', 'di', 'profil', 'linkedin']","['gen', 'z', 'pelamar', 'kerja', 'ramairamai', 'pasang', 'tagar', 'desperate', 'di', 'profil', 'linkedin']","['gen', 'z', 'pelamar', 'kerja', 'ramairamai', 'pasang', 'tagar', 'desperate', 'profil', 'linkedin']","['gen', 'z', 'pelamar', 'kerja', 'ramairamai', 'pasang', 'tagar', 'desperate', 'profil', 'linkedin']"
"Gen Z Pilih Makanan Tidak Enak Demi Sehat, Tapi Bingung Cara Diet Seimbang",https://wolipop.detik.com/health-and-diet/d-7522779/gen-z-pilih-makanan-tidak-enak-demi-sehat-tapi-bingung-cara-diet-seimbang,"gen z pilih makanan tidak enak demi sehat, tapi bingung cara diet seimbang","gen z pilih makanan tidak enak demi sehat, tapi bingung cara diet seimbang",gen z pilih makanan tidak enak demi sehat tapi bingung cara diet seimbang,gen z pilih makanan tidak enak demi sehat tapi bingung cara diet seimbang,gen z pilih makanan tidak enak demi sehat tapi bingung cara diet seimbang,"['gen', 'z', 'pilih', 'makanan', 'tidak', 'enak', 'demi', 'sehat', 'tapi', 'bingung', 'cara', 'diet', 'seimbang']","['gen', 'z', 'pilih', 'makanan', 'tidak', 'enak', 'demi', 'sehat', 'tapi', 'bingung', 'cara', 'diet', 'seimbang']","['gen', 'z', 'pilih', 'makanan', 'enak', 'sehat', 'bingung', 'diet', 'seimbang']","['gen', 'z', 'pilih', 'makanan', 'enak', 'sehat', 'bingung', 'diet', 'seimbang']"
Dilema Jutaan Gen-Z di Jabar Jadi Pengangguran,https://www.detik.com/jabar/berita/d-7363701/dilema-jutaan-gen-z-di-jabar-jadi-pengangguran,dilema jutaan gen-z di jabar jadi pengangguran,dilema jutaan gen-z di jabar jadi pengangguran,dilema jutaan genz di jabar jadi pengangguran,dilema jutaan genz di jabar jadi pengangguran,dilema jutaan genz di jabar jadi pengangguran,"['dilema', 'jutaan', 'genz', 'di', 'jabar', 'jadi', 'pengangguran']","['dilema', 'jutaan', 'genz', 'di', 'jabar', 'jadi', 'pengangguran']","['dilema', 'jutaan', 'genz', 'jabar', 'pengangguran']","['dilema', 'jutaan', 'genz', 'jabar', 'pengangguran']"
